sk_local;bairro;endereco;latitude;longitude
255;NÃO INFORMADO;NÃO INFORMADO;-8.064817;-34.901376
256;NÃO INFORMADO;NÃO INFORMADO;-8.013379;-34.914835
257;NÃO INFORMADO;NÃO INFORMADO;-8.0188;-34.940976
258;NÃO INFORMADO;NÃO INFORMADO;-8.041627;-34.93706
259;NÃO INFORMADO;NÃO INFORMADO;-8.10541;-34.889681
260;NÃO INFORMADO;NÃO INFORMADO;-8.04432;-34.888249
261;NÃO INFORMADO;NÃO INFORMADO;-8.077224;-34.918692
262;NÃO INFORMADO;NÃO INFORMADO;-8.036884;-34.962852
263;NÃO INFORMADO;NÃO INFORMADO;-8.034329;-34.950106
264;NÃO INFORMADO;NÃO INFORMADO;-8.141113;-34.904755
265;NÃO INFORMADO;NÃO INFORMADO;-8.092627;-34.938991
266;NÃO INFORMADO;NÃO INFORMADO;-8.130503;-34.901204
267;NÃO INFORMADO;NÃO INFORMADO;-8.055984;-34.910817
268;NÃO INFORMADO;NÃO INFORMADO;-8.060781;-34.886795
269;NÃO INFORMADO;NÃO INFORMADO;-8.025809;-34.911633
270;NÃO INFORMADO;NÃO INFORMADO;-8.053408;-34.937924
271;NÃO INFORMADO;NÃO INFORMADO;-8.0477;-34.910696
272;NÃO INFORMADO;NÃO INFORMADO;-8.069536;-34.875441
273;NÃO INFORMADO;NÃO INFORMADO;-8.112048;-34.926422
274;NÃO INFORMADO;NÃO INFORMADO;-8.026863;-34.893101
275;NÃO INFORMADO;NÃO INFORMADO;-8.071826;-34.878505
276;NÃO INFORMADO;NÃO INFORMADO;-8.106244;-34.912249
277;NÃO INFORMADO;NÃO INFORMADO;-8.131475;-34.916192
278;NÃO INFORMADO;NÃO INFORMADO;-8.03657;-34.914024
279;NÃO INFORMADO;NÃO INFORMADO;-8.037914;-34.916965
280;NÃO INFORMADO;NÃO INFORMADO;-8.114613;-34.91299
281;NÃO INFORMADO;NÃO INFORMADO;-8.078329;-34.892251
282;NÃO INFORMADO;NÃO INFORMADO;-8.075684;-34.907368
283;NÃO INFORMADO;NÃO INFORMADO;-8.066586;-34.895496
284;NÃO INFORMADO;NÃO INFORMADO;-8.107141;-34.914266
285;NÃO INFORMADO;NÃO INFORMADO;-8.056569;-34.898103
286;NÃO INFORMADO;NÃO INFORMADO;-8.030058;-34.901011
287;NÃO INFORMADO;NÃO INFORMADO;-8.065193;-34.895735
288;NÃO INFORMADO;NÃO INFORMADO;-8.077798;-34.905831
289;NÃO INFORMADO;NÃO INFORMADO;-8.029872;-34.957922
290;NÃO INFORMADO;NÃO INFORMADO;-8.072981;-34.888064
291;NÃO INFORMADO;NÃO INFORMADO;-8.05174;-34.934759
292;NÃO INFORMADO;NÃO INFORMADO;-8.023546;-34.897143
293;NÃO INFORMADO;NÃO INFORMADO;-8.0214;-34.886484
294;NÃO INFORMADO;NÃO INFORMADO;-8.070224;-34.93059
295;NÃO INFORMADO;NÃO INFORMADO;-8.035821;-34.906799
296;NÃO INFORMADO;NÃO INFORMADO;-8.080926;-34.919913
297;NÃO INFORMADO;NÃO INFORMADO;-8.033585;-34.951367
298;NÃO INFORMADO;NÃO INFORMADO;-8.080231;-34.906147
299;NÃO INFORMADO;NÃO INFORMADO;-8.033426;-34.885175
300;NÃO INFORMADO;NÃO INFORMADO;-8.027153;-34.904063
301;NÃO INFORMADO;NÃO INFORMADO;-8.065455;-34.918166
302;NÃO INFORMADO;NÃO INFORMADO;-8.058274;-34.913843
303;NÃO INFORMADO;NÃO INFORMADO;-8.051709;-34.932125
304;NÃO INFORMADO;NÃO INFORMADO;-8.088261;-34.932586
305;NÃO INFORMADO;NÃO INFORMADO;-8.048681;-34.892948
306;NÃO INFORMADO;NÃO INFORMADO;-8.02685;-34.904552
307;NÃO INFORMADO;NÃO INFORMADO;-8.037633;-34.91016
308;NÃO INFORMADO;NÃO INFORMADO;-8.038716;-34.883502
309;NÃO INFORMADO;NÃO INFORMADO;-8.051921;-34.908768
310;NÃO INFORMADO;NÃO INFORMADO;-8.064113;-34.935542
311;NÃO INFORMADO;NÃO INFORMADO;-8.109048;-34.9261
312;NÃO INFORMADO;NÃO INFORMADO;-8.016415;-34.950876
313;NÃO INFORMADO;NÃO INFORMADO;-8.031819;-34.892165
314;NÃO INFORMADO;NÃO INFORMADO;-8.084288;-34.953888
315;NÃO INFORMADO;NÃO INFORMADO;-8.072572;-34.896516
316;NÃO INFORMADO;NÃO INFORMADO;-8.081006;-34.921036
317;NÃO INFORMADO;NÃO INFORMADO;-8.001235;-34.919325
318;NÃO INFORMADO;NÃO INFORMADO;-8.052819;-34.923531
