sk_tipo_acidente;causa_acidente;descricao_detalhada
152;Atropelamento de pedestre;TAXI
153;Atropelamento de pedestre;ATROLPELAMENTO ENVOLVENDO MOTO E PEDESTRE
154;Atropelamento de pedestre;ATROPELAMENTO ENVOLVENDO ÔNIBUS E PEDESTRE
155;Atropelamento de pedestre;AUTO E PEDESTRE
156;Atropelamento de pedestre;ATROPELAMENTO COM UM PEDESTRE
157;Atropelamento de pedestre;VITIMA A ESPERA DO SAMU
158;Atropelamento de pedestre;SHYNERAI ATROPELOU UM PEDESTRE
159;Atropelamento de pedestre;ATROPELAMENTO E COLISAO ENTRE MOTOS
160;Atropelamento de pedestre;AUTO E PEDESTRE C/V
161;Atropelamento de pedestre;CINQUENTINHA E PEDESTRE
162;Atropelamento de pedestre;PEDESTRE SOCORRIDA PELO SAMU
163;Atropelamento de pedestre;ATROPELAMENTO COM VITIMA FATAL
164;Atropelamento de pedestre;VITIMA SOCORRIDO PELO SAMU
165;Colisão entre veículos;ATROPELAMENTO DE CICLISTA AGUARDANDO A CHEGADA DOS BOMBEIROS
166;Colisão entre veículos;COLISAO ENTRE MOTO E CICLISTA
167;Colisão entre veículos;COLC/V SET BOA VIAGEM
168;Colisão entre veículos;CICLISTA E AUTO VT DA CTTU 10 ESTA NO LOCAL
169;Colisão entre veículos;AUTO X BICICLETA
170;Colisão entre veículos;COM UMA VÍTIMA.
171;Colisão entre veículos;COLISÃO COM VÍTIMA ENVOLVENDO 50CC
172;Colisão entre veículos;AUTO MOTO
173;Capotamento/Tombamento;NÃO INFORMADO
174;Colisão entre veículos;COLC/VSET/SET AV RECIFE
175;Colisão entre veículos;COLISÃO ENTRE MOTO E AUTO C/V
176;Colisão entre veículos;CONDUTOR PERDEU O CONTROLE E CHOCOU-SE COM O POSTE
177;Colisão entre veículos;COLISÃO COM VITIMAS-VEICULOS FORAM RETIRADOS DO LOCAL
178;Colisão entre veículos;COLISÃO COM VITIMA ENTRE AUTO E MOTO
179;Colisão entre veículos;COLISÃO ENTRE AUTO E MOTO COM LESÕES
180;Colisão entre veículos;COLISAO DE AUTO E MOTO COM UMA VITIMA
181;Colisão entre veículos;CAMINHAO MOTO- SEMAFORO 351
182;Colisão entre veículos;1 AUTO E 1 MOTO
183;Colisão entre veículos;COLISÃO ENTRE AUTO (IC) E MOTOCICLETA COM VÍTIMA
184;Colisão entre veículos;1 AUTO- 1 CARRO
185;Colisão entre veículos;01 MOTO 01 ONIBUS
186;Colisão entre veículos;auto e moto
187;Colisão entre veículos;COLISAO ENTRE AUTO E MOTO
188;Colisão entre veículos;COLISÃO COM COM 1 VITIMA A ESPERA DO SAMU
189;Colisão entre veículos;COLISÃO COM VITIMA UM CARRO E UMA MOTO
190;Colisão entre veículos;COLISÃO ENTRE AUTO E MOTO COM VÍTIMA
191;Colisão entre veículos;COLISAO COM VITIMA ENTRE AUTO E MOTO
192;Colisão entre veículos;COLISÃO ENVOLVENDO MOTOCICLETA
193;Colisão entre veículos;COLISAO ENTRE AUTOI E MOTO
194;Colisão entre veículos;COLISÃO COM VÍTIMA ENTRE AUTO E MOTO
195;Colisão entre veículos;COLISÃO COM VITIMA -MULHER GRAVIDA
196;Colisão entre veículos;COLISÃO COM 2 VITIMAS
197;Colisão entre veículos;COLISAO AUTO E MOTO
198;Colisão entre veículos;COLISAO COM VITIMA ENVOLVENDO AUTO E MOTO
199;Colisão entre veículos;COLISÃO AUTO X MOTO
200;Colisão entre veículos;COLISÃO MOTO E CAMINHÃO BAÚ COM 2 VITIMAS
201;Colisão entre veículos;COLC/V SET/BR
202;Colisão entre veículos;AUTO E MOTO- VITIMA JA SOCORRIDA P/ SAMU
203;Colisão entre veículos;COLISAO ENTRE UM AUTO E MOTO
204;Colisão entre veículos;COLISAO ENTRE MOTO E AUTO
205;Colisão entre veículos;02 AUTOS 01 MOTO
206;Colisão entre veículos;01 MOTO 01 AUTO
207;Colisão entre veículos;AUTO KLB 2944 X MOTO PEY8293
208;Colisão entre veículos;COLC/V-SETAEROPORTO
209;Colisão entre veículos;AUTO E MOTO / MOTO 37 GM ANDRADE
210;Colisão entre veículos;COLISÃO ENTRE UM ÔNIBUS E MOTO
211;Colisão entre veículos;CONDUTOR COLIDIU EM UM OBJETO FIXO
212;Colisão entre veículos;COLISÃO SEM VÍTIMA
213;Colisão entre veículos;COLC/VSETCD
214;Colisão entre veículos;COLISÃO ENTRE ÔNIBUS E MOTO
215;Colisão entre veículos;DUAS MOTOS E UM AUTO
216;Colisão entre veículos;COLISAO ENTRE MOTOS
217;Colisão entre veículos;COLISAO ENTRE UM CARRO E MOTO
218;Não classificado;CONDUTOR PERDEU O CONTROLE DA MOTO CAIU ESPONTANEAMENTE
219;Colisão entre veículos;COLISAO ENTRE CAMINHAO E MOTO - USUARIO INFORMOU QUE OS VEICULOS FOI RETIRADO DA VIA
220;Colisão entre veículos;COLISÃO ENTRE DUA MOTO C/V
221;Colisão entre veículos;BATEDOR DA CTTU VT 08 NO LOCAL
222;Colisão entre veículos;COLISAO ENTRE AUTO E MOTO C/V
223;Colisão entre veículos;COLISÃO COM VITIMA-VT DA CTTU 39 NO LOCAL
224;Colisão entre veículos;UM VEICULO DA CELPE E UM AUTRO E MOTO
225;Colisão entre veículos;COM VÍTIMA
226;Colisão entre veículos;COLISAO ENTRE AUTO E MOTO COM VITIMA
227;Colisão entre veículos;COLISAO ENTRE AUTO E MOTO C/ VITIMA - VEICULOS REMOVIDOS DO LOCAL PELO USUARIO
228;Colisão entre veículos;COLISAO COM VITIMA ENTRE MOTO E ONIBUS
229;Colisão entre veículos;CONDUTOR CAIU DA MOTO AO TENTAR DESVIAR DE DOIS CARROS ESTACIONADOS EM CIMA DA CALÇADA
230;Colisão entre veículos;COLISÃO ENTRE DOIS AUTO E UMA MOTO- C/V
231;Colisão entre veículos;COLISÃO DE TRES VEÍCULOS COM VÍTIMAS
232;Colisão entre veículos;COLISÃO SEM VITIMA ENTRE DOIS AUTO-PASSEIO
233;Colisão entre veículos;CHOQUE CONTRA UMA ARVORE COM VITIMA NAS FERRAGENS
234;Colisão entre veículos;COLISAO COM VITIMA ENTRE UM AUTO E UM ONIBUS
235;Colisão entre veículos;ENGAVETAMENTO ENVOLVENDO 5 AUTO- E UM CAMINÃO COM VITIMA
236;Colisão entre veículos;DOIS AUTO PASSEIO ACIDENTE GRAVE
237;Colisão entre veículos;DOIS AUTO PASSEIO
238;Colisão entre veículos;ENTRE QUATRO VEÍCULOS
